age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
87,male,0.009483683728991454,0.020702550542313763,0.3738988757330426,0.013740733605909333,8075,copd,0,20,85,7,76,5,male_copd,East of England
88,male,0.009483683728991454,0.020702550542313763,0.3738988757330426,0.013740733605909333,8075,copd,0,20,85,7,76,5,male_copd,East of England
89,male,0.009483683728991454,0.020702550542313763,0.3738988757330426,0.013740733605909333,8075,copd,0,20,85,7,76,5,male_copd,East of England
90,male,0.013768623408475266,0.02286910454371663,0.4225899687732187,0.020630499027417624,3135,copd,0,10,90,4,43,5,male_copd,East of England
91,male,0.013768623408475266,0.02286910454371663,0.4225899687732187,0.020630499027417624,3135,copd,0,10,90,4,43,5,male_copd,East of England
92,male,0.013768623408475266,0.02286910454371663,0.4225899687732187,0.020630499027417624,3135,copd,0,10,90,4,43,5,male_copd,East of England
93,male,0.013768623408475266,0.02286910454371663,0.4225899687732187,0.020630499027417624,3135,copd,0,10,90,4,43,5,male_copd,East of England
94,male,0.013768623408475266,0.02286910454371663,0.4225899687732187,0.020630499027417624,3135,copd,0,10,90,4,43,5,male_copd,East of England
95,male,0.021289649587766166,0.026490043545182817,0.4997813685740191,0.02836076523986554,559,copd,0,10,95,5,12,6,male_copd,East of England
96,male,0.021289649587766166,0.026490043545182817,0.4997813685740191,0.02836076523986554,559,copd,0,10,95,5,12,6,male_copd,East of England
97,male,0.021289649587766166,0.026490043545182817,0.4997813685740191,0.02836076523986554,559,copd,0,10,95,5,12,6,male_copd,East of England
98,male,0.021289649587766166,0.026490043545182817,0.4997813685740191,0.02836076523986554,559,copd,0,10,95,5,12,6,male_copd,East of England
99,male,0.021289649587766166,0.026490043545182817,0.4997813685740191,0.02836076523986554,559,copd,0,10,95,5,12,6,male_copd,East of England
100,male,0.021289649587766166,0.026490043545182817,0.4997813685740191,0.02836076523986554,559,copd,0,10,95,5,12,6,male_copd,East of England
